19995	Avatar	2009-12-10	"28,12,14,878"	en	"en,es"	237000000	2787965087	162	150.437577	7.2	1	2009	12	5	2550965087
285	Pirates of the Caribbean: At World's End	2007-05-19	"12,14,28"	en	en	300000000	961000000	169	139.082615	6.9	1	2007	5	7	661000000
206647	Spectre	2015-10-26	"28,12,80"	en	"fr,en,es,it,de"	245000000	880674609	148	107.376788	6.3	1	2015	10	2	635674609
49026	The Dark Knight Rises	2012-07-16	"28,80,18,53"	en	en	250000000	1084939099	165	112.31295	7.6	1	2012	7	2	834939099
49529	John Carter	2012-03-07	"28,12,878"	en	en	260000000	284139100	132	43.926995	6.1	1	2012	3	4	24139100
559	Spider-Man 3	2007-05-01	"14,28,12"	en	"en,fr"	258000000	890871626	139	115.699814	5.9	1	2007	5	3	632871626
38757	Tangled	2010-11-24	"1,610,751"	en	en	260000000	591794936	100	48.681969	7.4	0	2010	11	4	331794936
99861	Avengers: Age of Ultron	2015-04-22	"28,12,878"	en	en	280000000	1405403694	141	134.279229	7.3	1	2015	4	4	1125403694
767	Harry Potter and the Half-Blood Prince	2009-07-07	"12,14,10751"	en	en	250000000	933959197	153	98.885637	7.4	1	2009	7	3	683959197
209112	Batman v Superman: Dawn of Justice	2016-03-23	"28,12,14"	en	en	250000000	873260194	151	155.790452	5.7	1	2016	3	4	623260194
1452	Superman Returns	2006-06-28	"12,14,28,878"	en	"en,fr,de"	270000000	391081192	154	57.925623	5.4	1	2006	6	4	121081192
10764	Quantum of Solace	2008-10-30	"12,28,53,80"	en	"en,es,it,fr,de"	200000000	586090727	106	107.928811	6.1	0	2008	10	5	386090727
58	Pirates of the Caribbean: Dead Man's Chest	2006-06-20	"12,14,28"	en	"en,tr,el,zh"	200000000	1065659812	151	145.847379	7	1	2006	6	3	865659812
57201	The Lone Ranger	2013-07-03	"28,12,37"	en	en	255000000	89289910	149	49.046956	5.9	1	2013	7	4	-165710090
49521	Man of Steel	2013-06-12	"28,12,14,878"	en	en	225000000	662845518	143	99.398009	6.5	1	2013	6	4	437845518
2454	The Chronicles of Narnia: Prince Caspian	2008-05-15	"12,10751,14"	en	en	225000000	419651413	150	53.978602	6.3	1	2008	5	5	194651413
24428	The Avengers	2012-04-25	"878,28,12"	en	en	220000000	1519557910	143	144.448633	7.4	1	2012	4	4	1299557910
1865	Pirates of the Caribbean: On Stranger Tides	2011-05-14	"12,28,14"	en	"en,es"	380000000	1045713802	136	135.413856	6.4	1	2011	5	7	665713802
41154	Men in Black 3	2012-05-23	"28,35,878"	en	en	225000000	624026776	106	52.035179	6.2	0	2012	5	4	399026776
122917	The Hobbit: The Battle of the Five Armies	2014-12-10	"28,12,14"	en	en	250000000	956019788	144	120.965743	7.1	1	2014	12	4	706019788
1930	The Amazing Spider-Man	2012-06-27	"28,12,14"	en	en	215000000	752215857	136	89.866276	6.5	1	2012	6	4	537215857
20662	Robin Hood	2010-05-12	"28,12"	en	"en,th"	200000000	310669540	140	37.668301	6.2	1	2010	5	4	110669540
57158	The Hobbit: The Desolation of Smaug	2013-12-11	"12,14"	en	en	250000000	958400000	161	94.370564	7.6	1	2013	12	4	708400000
2268	The Golden Compass	2007-12-04	"12,14"	en	"is,en,ru,fr"	180000000	372234864	113	42.990906	5.8	0	2007	12	3	192234864
254	King Kong	2005-12-14	"12,18,28"	en	en	207000000	550000000	187	61.22601	6.6	1	2005	12	4	343000000
597	Titanic	1997-11-18	"18,10749,53"	en	"en,fr,de,sv,it,ru"	200000000	1845034188	194	100.025899	7.5	1	1997	11	3	1645034188
271110	Captain America: Civil War	2016-04-27	"12,28,878"	en	"ro,en,de,ru"	250000000	1153304495	147	198.372395	7.1	1	2016	4	4	903304495
44833	Battleship	2012-04-11	"53,28,12,878"	en	"en,th"	209000000	303025485	131	64.928382	5.5	1	2012	4	4	94025485
135397	Jurassic World	2015-06-09	"28,12,878,53"	en	en	150000000	1513528810	124	418.708552	6.5	1	2015	6	3	1363528810
37724	Skyfall	2012-10-25	"28,12,53"	en	en	200000000	1108561013	143	93.004993	6.9	1	2012	10	5	908561013
