19995	Avatar	12/10/09	"28,12,14,878"	en	"en,es"	237000000	2787965087	162	150.437577	7.2	1	2009	December	Thu	2550965087
285	Pirates of the Caribbean: At World's End	5/19/07	"12,14,28"	en	en	300000000	961000000	169	139.082615	6.9	1	2007	May	Sat	661000000
206647	Spectre	10/26/15	"28,12,80"	en	"fr,en,es,it,de"	245000000	880674609	148	107.376788	6.3	1	2015	October	Mon	635674609
49026	The Dark Knight Rises	7/16/12	"28,80,18,53"	en	en	250000000	1084939099	165	112.31295	7.6	1	2012	July	Mon	834939099
49529	John Carter	3/7/12	"28,12,878"	en	en	260000000	284139100	132	43.926995	6.1	1	2012	March	Wed	24139100
559	Spider-Man 3	5/1/07	"14,28,12"	en	"en,fr"	258000000	890871626	139	115.699814	5.9	1	2007	May	Tue	632871626
38757	Tangled	11/24/10	"1,610,751"	en	en	260000000	591794936	100	48.681969	7.4	0	2010	November	Wed	331794936
99861	Avengers: Age of Ultron	4/22/15	"28,12,878"	en	en	280000000	1405403694	141	134.279229	7.3	1	2015	April	Wed	1125403694
767	Harry Potter and the Half-Blood Prince	7/7/09	"12,14,10751"	en	en	250000000	933959197	153	98.885637	7.4	1	2009	July	Tue	683959197
209112	Batman v Superman: Dawn of Justice	3/23/16	"28,12,14"	en	en	250000000	873260194	151	155.790452	5.7	1	2016	March	Wed	623260194
1452	Superman Returns	6/28/06	"12,14,28,878"	en	"en,fr,de"	270000000	391081192	154	57.925623	5.4	1	2006	June	Wed	121081192
10764	Quantum of Solace	10/30/08	"12,28,53,80"	en	"en,es,it,fr,de"	200000000	586090727	106	107.928811	6.1	0	2008	October	Thu	386090727
58	Pirates of the Caribbean: Dead Man's Chest	6/20/06	"12,14,28"	en	"en,tr,el,zh"	200000000	1065659812	151	145.847379	7	1	2006	June	Tue	865659812
57201	The Lone Ranger	7/3/13	"28,12,37"	en	en	255000000	89289910	149	49.046956	5.9	1	2013	July	Wed	-165710090
49521	Man of Steel	6/12/13	"28,12,14,878"	en	en	225000000	662845518	143	99.398009	6.5	1	2013	June	Wed	437845518
2454	The Chronicles of Narnia: Prince Caspian	5/15/08	"12,10751,14"	en	en	225000000	419651413	150	53.978602	6.3	1	2008	May	Thu	194651413
24428	The Avengers	4/25/12	"878,28,12"	en	en	220000000	1519557910	143	144.448633	7.4	1	2012	April	Wed	1299557910
1865	Pirates of the Caribbean: On Stranger Tides	5/14/11	"12,28,14"	en	"en,es"	380000000	1045713802	136	135.413856	6.4	1	2011	May	Sat	665713802
41154	Men in Black 3	5/23/12	"28,35,878"	en	en	225000000	624026776	106	52.035179	6.2	0	2012	May	Wed	399026776
122917	The Hobbit: The Battle of the Five Armies	12/10/14	"28,12,14"	en	en	250000000	956019788	144	120.965743	7.1	1	2014	December	Wed	706019788
1930	The Amazing Spider-Man	6/27/12	"28,12,14"	en	en	215000000	752215857	136	89.866276	6.5	1	2012	June	Wed	537215857
20662	Robin Hood	5/12/10	"28,12"	en	"en,th"	200000000	310669540	140	37.668301	6.2	1	2010	May	Wed	110669540
57158	The Hobbit: The Desolation of Smaug	12/11/13	"12,14"	en	en	250000000	958400000	161	94.370564	7.6	1	2013	December	Wed	708400000
2268	The Golden Compass	12/4/07	"12,14"	en	"is,en,ru,fr"	180000000	372234864	113	42.990906	5.8	0	2007	December	Tue	192234864
